voltage,current,timestamp
3.0,0.0,1767991375.0744562
2.0,9.0,1767991375.5080853
2.0,8.0,1767991375.5366428
2.0,8.0,1767991375.559328
2.0,8.0,1767991375.590338
3.0,8.0,1767991375.615198
2.0,8.0,1767991375.6428363
2.0,8.0,1767991375.6700673
3.0,8.0,1767991375.696607
2.0,8.0,1767991376.2577577
2.0,8.0,1767991376.887242
2.0,8.0,1767991377.5211232
2.0,8.0,1767991378.1537
2.0,8.0,1767991378.7869332
0.0,31.0,1767991379.417744
2.0,9.0,1767991380.0372791
2.0,8.0,1767991380.66946
3.0,8.0,1767991381.3013284
0.0,31.0,1767991381.9347556
1.0,18.0,1767991382.567396
0.0,31.0,1767991383.1867223
0.0,32.0,1767991383.8158119
0.0,31.0,1767991384.4488633
0.0,31.0,1767991385.0861113
2.0,9.0,1767991385.7161934
0.0,31.0,1767991386.3481877
3.0,0.0,1767992980.3504908
2.0,10.0,1767992980.7235534
2.0,9.0,1767992980.7528734
2.0,9.0,1767992980.7896972
2.0,9.0,1767992980.8228557
2.0,9.0,1767992980.84759
3.0,9.0,1767992980.874628
2.0,9.0,1767992980.903958
3.0,9.0,1767992980.9732718
3.0,9.0,1767992981.6058486
2.0,9.0,1767992982.239255
2.0,9.0,1767992982.8706775
2.0,9.0,1767992983.4882317
2.0,9.0,1767992984.128659
2.0,9.0,1767992984.7563055
2.0,9.0,1767992985.3877907
2.0,9.0,1767992986.02061
2.0,9.0,1767992986.6390264
3.0,9.0,1767992987.2703707
2.0,9.0,1767992987.905358
2.0,9.0,1767992988.538687
2.0,9.0,1767992989.169835
2.0,9.0,1767992989.7901914
2.0,9.0,1767992990.4222963
2.0,9.0,1767992991.0526602
2.0,9.0,1767992991.6880796
2.0,10.0,1767992992.318688
2.0,10.0,1767992992.9510262
2.0,11.0,1767992993.56808
2.0,10.0,1767992994.2041652
2.0,11.0,1767992994.8327844
2.0,9.0,1767992995.4689124
2.0,10.0,1767992996.1001477
2.0,9.0,1767992996.7150824
3.0,9.0,1767992997.3592205
3.0,9.0,1767992997.9889863
2.0,9.0,1767992998.617076
2.0,11.0,1767992999.2502463
2.0,9.0,1767992999.877824
0.0,31.0,1767993000.5021405
0.0,31.0,1767993001.1347837
1.0,22.0,1767993006.7670062
3.0,0.0,1767993007.3971243
2.0,9.0,1767993008.0294833
2.0,9.0,1767993008.6584697
3.0,9.0,1767993009.2836554
2.0,9.0,1767993009.9159348
2.0,9.0,1767993010.5476487
2.0,9.0,1767993011.1791713
2.0,9.0,1767993011.8015049
0.0,31.0,1767993012.4320552
1.0,19.0,1767993013.0653663
1.0,20.0,1767993013.6982393
0.0,30.0,1767993014.3286638
0.0,31.0,1767993014.9455795
0.0,31.0,1767993015.5811932
0.0,30.0,1767993016.2142735
0.0,30.0,1767993016.8451147
0.0,30.0,1767993017.4778924
0.0,30.0,1767993018.1083791
0.0,30.0,1767993018.7275474
2.0,9.0,1767993019.3630111
2.0,9.0,1767993019.9938095
3.0,9.0,1767993020.6274607
2.0,9.0,1767993021.256318
1.0,30.0,1767993026.877709
3.0,0.0,1767993027.508829
0.0,30.0,1767993028.1436563
0.0,30.0,1767993028.7769303
0.0,30.0,1767993029.4077358
0.0,30.0,1767993030.024619
0.0,29.0,1767993030.6591337
0.0,30.0,1767993031.2903965
0.0,29.0,1767993031.9278016
0.0,30.0,1767993032.5572379
0.0,29.0,1767993033.188512
0.0,29.0,1767993033.8090198
0.0,29.0,1767993034.4409697
0.0,29.0,1767993035.0729578
0.0,29.0,1767993035.7077348
0.0,29.0,1767993036.324213
0.0,29.0,1767993036.9632924
0.0,29.0,1767993037.5950258
0.0,29.0,1767993038.2221317
0.0,29.0,1767993038.8570166
0.0,29.0,1767993039.4869134
2.0,10.0,1767993040.112746
2.0,9.0,1767993040.7458513
2.0,9.0,1767993041.3756468
2.0,9.0,1767993042.0052965
2.0,9.0,1767993042.6352694
2.0,9.0,1767993043.264982
2.0,9.0,1767993043.8954399
2.0,9.0,1767993044.5254288
2.0,12.0,1767993045.1566758
0.0,29.0,1767993045.7862144
0.0,29.0,1767993046.4133642
2.0,13.0,1767993047.0458422
0.0,29.0,1767993047.675873
0.0,29.0,1767993048.3028085
0.0,29.0,1767993048.9356112
2.0,17.0,1767993049.56641
2.0,9.0,1767993050.19488
0.0,29.0,1767993050.8206768
0.0,29.0,1767993051.4535155
0.0,29.0,1767993052.0857413
0.0,29.0,1767993052.702594
0.0,29.0,1767993053.3456838
0.0,28.0,1767993053.9695601
0.0,29.0,1767993054.6051512
0.0,28.0,1767993055.232973
0.0,28.0,1767993055.8655763
0.0,28.0,1767993056.4954007
0.0,28.0,1767993057.125529
2.0,11.0,1767993057.7551565
2.0,9.0,1767993058.3822732
2.0,9.0,1767993059.0137856
0.0,28.0,1767993059.6446133
0.0,28.0,1767993060.2747386
0.0,28.0,1767993060.898863
0.0,28.0,1767993061.5353434
0.0,28.0,1767993062.1641808
2.0,10.0,1767993062.791706
2.0,9.0,1767993063.417484
2.0,9.0,1767993064.0469887
2.0,8.0,1767993064.6823905
2.0,9.0,1767993065.3138347
2.0,9.0,1767993065.9330938
2.0,9.0,1767993066.5660992
2.0,8.0,1767993067.1979735
2.0,9.0,1767993067.832559
2.0,9.0,1767993068.463289
2.0,9.0,1767993069.0798311
2.0,8.0,1767993069.7131293
2.0,9.0,1767993070.346874
0.0,28.0,1767993070.981295
0.0,28.0,1767993071.6130147
0.0,28.0,1767993072.2442868
2.0,10.0,1767993072.86159
2.0,9.0,1767993073.4967864
2.0,9.0,1767993074.1267323
2.0,8.0,1767993074.7618058
1.0,20.0,1767993075.39341
2.0,10.0,1767993076.0194123
2.0,9.0,1767993076.646875
2.0,13.0,1767993077.2828143
0.0,29.0,1767993077.9107192
2.0,10.0,1767993078.5429997
2.0,12.0,1767993079.1602728
2.0,9.0,1767993079.795716
2.0,9.0,1767993080.431557
2.0,8.0,1767993081.0599055
2.0,8.0,1767993081.6919608
2.0,8.0,1767993082.317015
2.0,9.0,1767993082.9444675
2.0,11.0,1767993083.5777624
2.0,11.0,1767993084.2079625
2.0,9.0,1767993084.841164
1.0,19.0,1767993085.472786
0.0,26.0,1767993086.0918636
